Scenario Number,Scenario Name,Planning Area,Sector,End Use,Units,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
1,High-Low,IID,Residential,Miscellaneous,MM Therms,0,0.001272752,0.002577243,0.003914266,0.005280853,0.006674462,0.008086519,0.009501802,0.010889006,0.012196525,0.013355293,0.014309906
1,High-Low,IID,Residential,Plug Load - Appliances,MM Therms,0,0.007296856,0.015366824,0.024088523,0.034044875,0.044615418,0.055605095,0.066879916,0.078378342,0.090098224,0.102013609,0.114106364
1,High-Low,IID,Residential,Plug Load - Consumer Electronics,GWh,0,0.105039693,0.212180179,0.321463475,0.432932437,0.455777454,0.515622725,0.5766649,0.63892792,0.7024362,0.767214645,0.830735377
1,High-Low,IID,Residential,Refrig/Freezer,GWh,0,0.681079993,1.100182615,1.420336103,1.679962559,1.887542388,2.076084304,2.265872352,2.454416934,2.640446712,2.822039902,3.007108787
1,High-Low,IID,Residential,Water Heating,GWh,0,-0.024484182,-0.075005856,-0.150452533,-0.248229914,-0.365293508,-0.500179297,-0.659233456,-0.842996058,-1.051960846,-1.286633465,-1.544825641
1,High-Low,IID,Residential,Water Heating,MM Therms,0,0.024796328,0.051456141,0.075100133,0.100355108,0.123212319,0.147298123,0.171923106,0.196952649,0.22262602,0.24903798,0.276043247
1,High-Low,IID,Residential,WholeBlg,GWh,0,4.740052866,8.548711707,12.32197929,16.0442221,19.66025978,23.35265888,26.64504082,29.86558699,32.99177623,35.94764579,38.9474621
1,High-Low,IID,Residential,WholeBlg,MM Therms,0,0.097505303,0.112434125,0.127167287,0.142024471,0.157319759,0.172719796,0.188323699,0.204076766,0.219975182,0.235420865,0.249971757
1,High-Low,LADWP,AGWP,MachDr,GWh,0,0,0.018164959,0.041082805,0.065225979,0.08963394,0.106929321,0.122223134,0.137517452,0.154068416,0.172720279,0.189693369
1,High-Low,LADWP,AGWP,MachDr,MM Therms,0,0,0,0,0,0.004695433,0.009451524,0.014252205,0.019087555,0.060214152,0.095674724,0.125499389
1,High-Low,LADWP,AGWP,WholeBlg,MM Therms,0,0.172074497,0.339844236,0.503488054,0.663214199,0.815368352,0.962188023,1.105521942,1.245630529,1.382658339,1.516603688,1.647405504
1,High-Low,LADWP,Commercial,Cooking,GWh,0,0.572205753,0.848309149,1.05946337,1.245808851,1.423239423,1.598258999,1.775594245,1.89586303,1.332705798,1.30860315,1.356686218
1,High-Low,LADWP,Commercial,Cooking,MM Therms,0,0.318675733,0.666336865,1.01928739,1.375557071,1.736126035,2.100493775,2.467455282,2.836896039,3.209032524,3.583735912,3.960969411
1,High-Low,LADWP,Commercial,HVAC - Cooling,GWh,0,44.40837665,83.78878627,123.8211764,166.3821085,211.9786877,260.612439,311.7367849,364.0225816,415.8994376,465.4616666,516.3856794
1,High-Low,LADWP,Commercial,HVAC - General,GWh,0,3.493276766,6.637539499,9.467692257,12.0151284,14.30814038,16.36866689,18.22347663,19.88964034,21.37904282,22.69888039,23.8451473
