FCZ7.Residential.MULTIFAMILY.CoolingEff,FCZ7.Residential.MULTIFAMILY.Dryer,FCZ7.Residential.MULTIFAMILY.Heating,FCZ7.Residential.MULTIFAMILY.HeatPumpEff,FCZ7.Residential.MULTIFAMILY.Miscellaneous,FCZ7.Residential.MULTIFAMILY.Refrigerator,FCZ7.Residential.MULTIFAMILY.ResLightingEff,FCZ7.Residential.MULTIFAMILY.ResOccsensorEff,FCZ7.Residential.MULTIFAMILY.Washer,FCZ7.Residential.MULTIFAMILY.WaterHeating,FCZ7.Residential.SINGLEFAMILY.CoolingEff,FCZ7.Residential.SINGLEFAMILY.Dryer,FCZ7.Residential.SINGLEFAMILY.Heating,FCZ7.Residential.SINGLEFAMILY.HeatPumpEff,FCZ7.Residential.SINGLEFAMILY.Miscellaneous,FCZ7.Residential.SINGLEFAMILY.Refrigerator,FCZ7.Residential.SINGLEFAMILY.ResLightingEff,FCZ7.Residential.SINGLEFAMILY.ResOccsensorEff,FCZ7.Residential.SINGLEFAMILY.Washer,FCZ7.Residential.SINGLEFAMILY.WaterHeating
0,0.953712057,0.175500489,0,0.783656728,0.619497056,0.47514746,0.212022899,0.493780571,1,0,0.953712057,0.162191936,0,0.783656728,0.619497056,0.47514746,0.212022899,0.493780571,1
0,0.918061354,0.14951807,0,0.799935344,0.630932873,0.487993653,0.217263117,0.517408531,1,0,0.918061354,0.113333788,0,0.799935344,0.630932873,0.487993653,0.217263117,0.517408531,1
0,0.827848918,0.166710077,0,0.818180594,0.640591073,0.506977754,0.220693161,0.517736255,1,0,0.827848918,0.129098401,0,0.818180594,0.640591073,0.506977754,0.220693161,0.517736255,1
0,0.747611681,0.254589427,0,0.838136546,0.646775099,0.54258361,0.224661937,0.449183134,1,0,0.747611681,0.283272637,0,0.838136546,0.646775099,0.54258361,0.224661937,0.449183134,1
0,0.668331487,0.365858583,0.0075888,0.856395267,0.645703896,0.617401719,0.232072708,0.368374584,1,0,0.668331487,0.497972299,0.007011182,0.856395267,0.645703896,0.617401719,0.232072708,0.368374584,1
0,0.594608316,0.427944668,0.016565105,0.869313092,0.635356653,0.744146531,0.232118675,0.300623655,1,0,0.594608316,0.627666289,0.016095235,0.869313092,0.635356653,0.744146531,0.232118675,0.300623655,1
0,0.533374725,0.395248028,0.031461524,0.871744445,0.617736808,0.903082428,0.217304487,0.295935238,1,0,0.533374725,0.590630357,0.030178566,0.871744445,0.617736808,0.903082428,0.217304487,0.295935238,1
0,0.50623793,0.331934694,0.031165617,0.858739064,0.596382228,1,0.266330864,0.223537468,1,0,0.50623793,0.48950542,0.028166661,0.858739064,0.596382228,1,0.266330864,0.223537468,1
0,0.479193751,0.29561185,0.052246342,0.826552261,0.570343306,0.969017036,0.605074186,0.177313637,1,0,0.479193751,0.41785429,0.043225461,0.826552261,0.570343306,0.969017036,0.605074186,0.177313637,1
0,0.399570531,0.29820221,0.04074138,0.777985816,0.548340214,0.798236474,0.906893277,0.106143612,1,0,0.399570531,0.388001666,0.031458868,0.777985816,0.548340214,0.798236474,0.906893277,0.106143612,1
0,0.279909304,0.294069343,0.070836637,0.734740061,0.524600036,0.583754005,0.981741058,0.064566621,1,0,0.279909304,0.350947256,0.051699846,0.734740061,0.524600036,0.583754005,0.981741058,0.064566621,1
0,0.164652532,0.205271245,0.066447592,0.668116947,0.4997018,0.416293901,0.696638262,0.033261593,1,0,0.164652532,0.165532348,0.042737726,0.668116947,0.4997018,0.416293901,0.696638262,0.033261593,1
0,0.074779691,0.180792301,0.051658209,0.631074173,0.481172881,0.305597473,0.394416502,0.018122677,1,0,0.074779691,0.144062026,0.032922072,0.631074173,0.481172881,0.305597473,0.394416502,0.018122677,1
0,0.033685164,0.174442127,0.062905774,0.612889538,0.47248745,0.250026947,0.237811207,0.01286441,1,0,0.033685164,0.14260717,0.039872287,0.612889538,0.47248745,0.250026947,0.237811207,0.01286441,1
0,0.021987974,0.180797555,0.073399556,0.608175004,0.466118133,0.224026168,0.176713942,0.013793778,1,0,0.021987974,0.149118131,0.046456701,0.608175004,0.466118133,0.224026168,0.176713942,0.013793778,1
0,0.033067717,0.198196731,0.081983678,0.616257063,0.457432702,0.226722357,0.156212738,0.023356486,1,0,0.033067717,0.163336205,0.051577912,0.616257063,0.457432702,0.226722357,0.156212738,0.023356486,1
0,0.081297188,0.225056615,0.079502877,0.633768193,0.457432702,0.271508129,0.156453604,0.044756408,1,0,0.081297188,0.187647298,0.050114709,0.633768193,0.457432702,0.271508129,0.156453604,0.044756408,1
0,0.161565297,0.25261757,0.081744971,0.655993858,0.46785522,0.358828109,0.17271207,0.092936803,1,0,0.161565297,0.20862864,0.051090178,0.655993858,0.46785522,0.358828109,0.17271207,0.092936803,1
0,0.269961547,0.255687571,0.07357087,0.674986698,0.483488996,0.440363484,0.192091684,0.215711211,1,0,0.269961547,0.206792835,0.045237365,0.674986698,0.483488996,0.440363484,0.192091684,0.215711211,1
0,0.402026598,0.233874049,0.062507362,0.687850644,0.49506957,0.48510135,0.212588291,0.363534533,1,0,0.402026598,0.190168954,0.03828715,0.687850644,0.49506957,0.48510135,0.212588291,0.363534533,1
0,0.544749471,0.193091071,0.042797436,0.694774275,0.506650145,0.486409773,0.236039645,0.527489728,1,0,0.544749471,0.16681663,0.027130226,0.694774275,0.506650145,0.486409773,0.236039645,0.527489728,1
0,0.688755261,0.154261184,0.015375816,0.699340639,0.52286295,0.477309201,0.247770379,0.576279104,1,0,0.688755261,0.144066291,0.010181455,0.699340639,0.52286295,0.477309201,0.247770379,0.576279104,1
0,0.757682927,0.120059569,0,0.704439071,0.5500773,0.470666786,0.241602551,0.596304539,1,0,0.757682927,0.111851214,0,0.704439071,0.5500773,0.470666786,0.241602551,0.596304539,1
0,0.784850595,0.088466328,0,0.711935182,0.571501364,0.471542561,0.222438981,0.490945999,1,0,0.784850595,0.076066871,0,0.711935182,0.571501364,0.471542561,0.222438981,0.490945999,1
0,0.730532411,0.061850393,0.160101316,0.721680799,0.587494137,0.47704572,0.212975331,0.438612796,1,0,0.730532411,0.039303147,0.086980113,0.721680799,0.587494137,0.47704572,0.212975331,0.438612796,1
