,date,hour,moer (lbs CO2/MWh),version
769,2019-02-02,1,0,3
770,2019-02-02,2,0,3
771,2019-02-02,3,0,3
772,2019-02-02,4,0,3
773,2019-02-02,5,0,3
774,2019-02-02,6,0,3
775,2019-02-02,7,0,3
776,2019-02-02,8,0,3
777,2019-02-02,9,0,3
778,2019-02-02,10,0,3
779,2019-02-02,11,0,3
780,2019-02-02,12,0,3
781,2019-02-02,13,0,3
782,2019-02-02,14,0,3
783,2019-02-02,15,0,3
784,2019-02-02,16,0,3
785,2019-02-02,17,0,3
786,2019-02-02,18,0,3
787,2019-02-02,19,0,3
788,2019-02-02,20,0,3
789,2019-02-02,21,0,3
790,2019-02-02,22,0,3
791,2019-02-02,23,0,3
792,2019-02-03,0,0,3
793,2019-02-03,1,0,3
794,2019-02-03,2,0,3
795,2019-02-03,3,0,3
796,2019-02-03,4,0,3
797,2019-02-03,5,0,3
798,2019-02-03,6,0,3
799,2019-02-03,7,0,3
800,2019-02-03,8,0,3
801,2019-02-03,9,0,3
802,2019-02-03,10,0,3
803,2019-02-03,11,0,3
804,2019-02-03,12,0,3
805,2019-02-03,13,0,3
806,2019-02-03,14,0,3
807,2019-02-03,15,0,3
808,2019-02-03,16,0,3
809,2019-02-03,17,0,3
810,2019-02-03,18,0,3
811,2019-02-03,19,0,3
812,2019-02-03,20,0,3
813,2019-02-03,21,0,3
814,2019-02-03,22,0,3
815,2019-02-03,23,0,3
816,2019-02-04,0,0,3
817,2019-02-04,1,0,3
818,2019-02-04,2,0,3
819,2019-02-04,3,0,3
820,2019-02-04,4,0,3
821,2019-02-04,5,0,3
822,2019-02-04,6,0,3
823,2019-02-04,7,0,3
824,2019-02-04,8,0,3
825,2019-02-04,9,0,3
826,2019-02-04,10,0,3
827,2019-02-04,11,0,3
828,2019-02-04,12,0,3
829,2019-02-04,13,0,3
830,2019-02-04,14,0,3
831,2019-02-04,15,0,3
832,2019-02-04,16,0,3
833,2019-02-04,17,0,3
834,2019-02-04,18,0,3
835,2019-02-04,19,0,3
836,2019-02-04,20,0,3
837,2019-02-04,21,0,3
838,2019-02-04,22,0,3
839,2019-02-04,23,0,3
840,2019-02-05,0,0,3
841,2019-02-05,1,0,3
842,2019-02-05,2,0,3
843,2019-02-05,3,0,3
844,2019-02-05,4,0,3
845,2019-02-05,5,0,3
846,2019-02-05,6,0,3
847,2019-02-05,7,0,3
848,2019-02-05,8,0,3
849,2019-02-05,9,0,3
850,2019-02-05,10,0,3
851,2019-02-05,11,0,3
852,2019-02-05,12,0,3
853,2019-02-05,13,0,3
854,2019-02-05,14,0,3
855,2019-02-05,15,0,3
856,2019-02-05,16,0,3
857,2019-02-05,17,0,3
858,2019-02-05,18,0,3
859,2019-02-05,19,0,3
860,2019-02-05,20,0,3
861,2019-02-05,21,0,3
862,2019-02-05,22,0,3
863,2019-02-05,23,0,3
864,2019-02-06,0,0,3
865,2019-02-06,1,0,3
866,2019-02-06,2,0,3
867,2019-02-06,3,0,3
868,2019-02-06,4,0,3
869,2019-02-06,5,0,3
870,2019-02-06,6,0,3
871,2019-02-06,7,0,3
