DEMAND,SOLAR,WIND,COAL,COAL_CRYO,COAL_AMINE,NUCLEAR
29415,9730.77,6573.55,57747,57747,57747,115494
29196,9292.8,5198.98,57747,57747,57747,115494
29191,8274.82,4043.94,57747,57747,57747,115494
29204,5850.66,3059.08,57747,57747,57747,115494
29275,1330.95,2709.37,57747,57747,57747,115494
29786,2.8,2220.45,57747,57747,57747,115494
31209,0,1899.82,57747,57747,57747,115494
33440,0,1585.15,57747,57747,57747,115494
33575,0,1341.8,57747,57747,57747,115494
33034,0,1141.72,57747,57747,57747,115494
32261,0,1063.77,57747,57747,57747,115494
30943,0,1052.2,57747,57747,57747,115494
29017,0,1161.54,57747,57747,57747,115494
26973,0,1220.79,57747,57747,57747,115494
25557,0,1212.51,57747,57747,57747,115494
24589,0,1221.31,57747,57747,57747,115494
23893,0,1240.02,57747,57747,57747,115494
23622,0,1335.25,57747,57747,57747,115494
23837,0,1367.16,57747,57747,57747,115494
24416,1408.96,1323.11,57747,57747,57747,115494
25387,5800.36,1153,57747,57747,57747,115494
26154,7917.54,697.48,57747,57747,57747,115494
27074,8990.43,397.87,57747,57747,57747,115494
27673,9302.94,368.23,57747,57747,57747,115494
27602,9221.9,409.08,57747,57747,57747,115494
27491,8779.31,517.71,57747,57747,57747,115494
27390,7849.8,656.81,57747,57747,57747,115494
27482,5554.79,959.23,57747,57747,57747,115494
27749,1246.97,1811.6,57747,57747,57747,115494
28429,3.86,2542,57747,57747,57747,115494
30234,0,2967.15,57747,57747,57747,115494
33029,0,3203.68,57747,57747,57747,115494
33598,0,3675.38,57747,57747,57747,115494
33176,0,4075.64,57747,57747,57747,115494
32316,0,4357.85,57747,57747,57747,115494
30614,0,5200.55,57747,57747,57747,115494
28525,0,6029.12,57747,57747,57747,115494
26649,0,6843.21,57747,57747,57747,115494
25170,0,7744.99,57747,57747,57747,115494
24389,0,9043.09,57747,57747,57747,115494
24079,0,10790.85,57747,57747,57747,115494
24369,0,12940.47,57747,57747,57747,115494
25568,0,14748.15,57747,57747,57747,115494
28058,1355.08,15312.49,57747,57747,57747,115494
31229,5147.69,14252.25,57747,57747,57747,115494
32512,7007.8,12114.25,57747,57747,57747,115494
32356,8093.21,11703.9,57747,57747,57747,115494
32179,8212.27,12452.83,57747,57747,57747,115494
31875,8239.11,13033.08,57747,57747,57747,115494
31190,7858.39,13299.91,57747,57747,57747,115494
30910,6187.12,12891.15,57747,57747,57747,115494
30693,3426.2,12412.02,57747,57747,57747,115494
30830,485.23,13031.55,57747,57747,57747,115494
31575,4.55,13659.88,57747,57747,57747,115494
32883,0,13894.57,57747,57747,57747,115494
35669,0,13795.29,57747,57747,57747,115494
36203,0,13918.93,57747,57747,57747,115494
35624,0,13781.47,57747,57747,57747,115494
34644,0,13706.04,57747,57747,57747,115494
32700,0,13720.13,57747,57747,57747,115494
30049,0,13757.57,57747,57747,57747,115494
27723,0,14200.74,57747,57747,57747,115494
26255,0,14714.6,57747,57747,57747,115494
25533,0,15262.33,57747,57747,57747,115494
25190,0,15492.47,57747,57747,57747,115494
25377,0,15668.72,57747,57747,57747,115494
26515,0,15669.12,57747,57747,57747,115494
28942,1354.19,15507.27,57747,57747,57747,115494
31903,5524.19,14483.08,57747,57747,57747,115494
33247,7591.3,12591.93,57747,57747,57747,115494
32653,8578.83,12029.8,57747,57747,57747,115494
32255,9208.08,12100.47,57747,57747,57747,115494
31596,9309.49,12171.76,57747,57747,57747,115494
30822,8921.37,12968.14,57747,57747,57747,115494
30488,7962.61,13548.34,57747,57747,57747,115494
30687,5723.68,13885.1,57747,57747,57747,115494
30727,1300.67,15172.29,57747,57747,57747,115494
31241,4.53,16584.65,57747,57747,57747,115494
32731,0,17097.08,57747,57747,57747,115494
35482,0,16600.28,57747,57747,57747,115494
36010,0,16098.52,57747,57747,57747,115494
35545,0,15715.23,57747,57747,57747,115494
34567,0,15069.9,57747,57747,57747,115494
32588,0,14719.8,57747,57747,57747,115494
30056,0,14338.8,57747,57747,57747,115494
27656,0,14049.73,57747,57747,57747,115494
26341,0,13356.72,57747,57747,57747,115494
25518,0,13051.26,57747,57747,57747,115494
25127,0,13077.7,57747,57747,57747,115494
25294,0,13600.15,57747,57747,57747,115494
26380,0,13569.69,57747,57747,57747,115494
28801,1459.5,13440.44,57747,57747,57747,115494
31954,5901.46,12557.49,57747,57747,57747,115494
33200,8079.63,10405.2,57747,57747,57747,115494
33010,9015.57,9383.41,57747,57747,57747,115494
32677,9392.35,8957.04,57747,57747,57747,115494
32022,9323.95,8304.1,57747,57747,57747,115494
31723,8799.47,7617.07,57747,57747,57747,115494
31657,7923.29,6988.77,57747,57747,57747,115494
31252,5640.49,6660.24,57747,57747,57747,115494
31011,1479.91,7437.5,57747,57747,57747,115494
31296,6.26,7827.39,57747,57747,57747,115494
32455,0,7917.02,57747,57747,57747,115494
35180,0,7833.41,57747,57747,57747,115494
35727,0,7820.06,57747,57747,57747,115494
35283,0,7589.31,57747,57747,57747,115494
34320,0,7455.72,57747,57747,57747,115494
32470,0,7477.18,57747,57747,57747,115494
29891,0,7374.98,57747,57747,57747,115494
27580,0,7350.18,57747,57747,57747,115494
26303,0,7363.96,57747,57747,57747,115494
25900,0,7459.35,57747,57747,57747,115494
25495,0,7390.66,57747,57747,57747,115494
