,diesel_genset_replacement_storage_4hr_CHARGE,diesel_genset_replacement_storage_4hr_DISCHARGE,diesel_genset_replacement_storage_4hr_STATE_OF_CHARGE
268,-0.0,0.0,0.0
269,-0.0,0.0,0.0
270,-0.0,0.0,0.0
271,-0.0,0.0,0.0
272,-0.0,0.0,0.0
273,-0.0,0.0,0.0
274,-0.0,0.0,0.0
275,-0.0,0.0,0.0
276,-0.0,0.0,0.0
277,-0.0,0.0,0.0
278,-0.0,0.0,0.0
279,-0.0,0.0,0.0
280,-0.0,0.0,0.0
281,-0.0,0.0,0.0
282,-0.0,0.0,0.0
283,-0.0,0.0,0.0
284,-0.0,0.0,0.0
285,-0.0,0.0,0.0
286,-0.0,0.0,0.0
287,-0.0,0.0,0.0
288,-0.0,0.0,0.0
289,-0.0,0.0,0.0
290,-0.0,0.0,0.0
291,-0.0,0.0,0.0
292,-0.0,0.0,0.0
293,-0.0,0.0,0.0
294,-0.0,0.0,0.0
295,-0.0,0.0,0.0
296,-0.0,0.0,0.0
297,-0.0,0.0,0.0
298,-0.0,0.0,0.0
299,-0.0,0.0,0.0
300,-0.0,0.0,0.0
301,-0.0,0.0,0.0
302,-0.0,0.0,0.0
303,-0.0,0.0,0.0
304,-0.0,0.0,0.0
305,-0.0,0.0,0.0
306,-0.0,0.0,0.0
307,-0.0,0.0,0.0
308,-0.0,0.0,0.0
309,-0.0,0.0,0.0
310,-0.0,0.0,0.0
311,-0.0,0.0,0.0
312,-0.0,0.0,0.0
313,-0.0,0.0,0.0
314,-0.0,0.0,0.0
315,-0.0,0.0,0.0
316,-171.73978208594397,0.0,171.739782085944
317,-22.08413854747271,0.0,193.82392063341672
318,-171.73978208594397,0.0,365.5637027193607
319,-171.73978208594397,0.0,537.3034848053047
320,-0.0,0.0,537.3034848053047
321,-0.0,0.0,537.3034848053047
322,-0.0,0.0,537.3034848053047
323,-0.0,0.0,537.3034848053047
324,-0.0,0.0,537.3034848053047
325,-0.0,0.0,537.3034848053047
326,-0.0,0.0,537.3034848053047
327,-0.0,0.0,537.3034848053047
328,-0.0,43.971317762457836,485.57252273182473
329,-0.0,46.971828070706174,430.311548530994
330,-0.0,46.971529791819,375.05092524650087
331,-0.0,46.971376854882145,319.79048188781604
332,-0.0,46.969659017210695,264.532059514627
333,-0.0,46.969651232824845,209.273646299539
334,-0.0,46.968360375742876,154.01675173984148
335,-0.0,46.96986791857779,98.75808360033822
336,-0.0,46.97112660227433,43.49793465648606
337,-0.0,36.973244458013156,0.0
338,-0.0,0.0,0.0
