,resource,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,Units
99,FCZ7.Residential.MULTIFAMILY.CoolingEff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
100,FCZ7.Residential.MULTIFAMILY.Dryer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
101,FCZ7.Residential.MULTIFAMILY.Heating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
102,FCZ7.Residential.MULTIFAMILY.Refrigerator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
103,FCZ7.Residential.MULTIFAMILY.ResLightingEff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
104,FCZ7.Residential.MULTIFAMILY.WaterHeating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
105,FCZ7.Residential.SINGLEFAMILY.CoolingEff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
106,FCZ7.Residential.SINGLEFAMILY.Dryer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
107,FCZ7.Residential.SINGLEFAMILY.Heating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
108,FCZ7.Residential.SINGLEFAMILY.Refrigerator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
109,FCZ7.Residential.SINGLEFAMILY.ResLightingEff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
110,FCZ7.Residential.SINGLEFAMILY.WaterHeating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
111,storage_utility_2hr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.3471061860063,MW
112,storage_utility_4hr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
113,storage_utility_6hr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
114,storage_residentialSF_4hr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
115,storage_residentialMF_4hr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
116,storage_ci_4hr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
117,diesel_genset_replacement_storage_4hr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.25597599533909,MW
