Facility Id,Facility Name,Facility  Status,Location  Street Address,Location  City,Location  State,Location  Zip,Locatino  Zip Four,Location  Area Code,Location  Phone Number,Location  Phone Extension,Location  Rep First,Location  Rep Last,Location  County Identity,Utm East,Utm North,Application  Date,Application  Number,Application  Status,Application  Type,Permit Number,Permit Status,PO Issue Date,BCAT Number,BCAT Description,CCAT Number,CCAT  Description,Naics Code,Sic Code1,Sic Code2,Emi Amt Av30 Co,Emi Amt Av30 Nox,Emi Amt Av30 Pm10,Emi Amt Av30 Rog,Emi Amt Av30 Sox,Emi Amt Av30 Tog,Operation  Days Per Week,Operation  Hours Per Day,Operation  Weeks Per Year
30955,"POMONA CITY, CITY WK YARD",A,636 W MONTEREY AVE,POMONA,CA,91768,    ,909,6202391,     ,DARRIN,MORRIS,LA  ,429.8800049,3768.909912,3/8/2012,534284,31,30,G40337,ACTIVE      ,5/18/2016,043901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,562211,9199,    ,0,0.3,0.01,0,0,0,1,1,30
31017,"LA CO., SHERIFF'S DEPT.",A,5130 N CLARK AVE,LAKEWOOD,CA,90712,2694,626,3003030,     ,GEORGE K.   ,LEE    ,LA  ,395.1199951,3746.02002,9/4/2003,419571,31,96,F63147,ACTIVE      ,9/4/2003,043901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,922120,9221,    ,0,2,0,0,0,0,1,1,29
31017,"LA CO., SHERIFF'S DEPT.",A,5130 N CLARK AVE,LAKEWOOD,CA,90712,2694,626,3003030,     ,GEORGE K.   ,LEE    ,LA  ,395.1199951,3746.02002,10/30/2012,544419,31,96,G21595,ACTIVE      ,11/20/2012,043902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,922120,9221,    ,0.11,1.11,0.02,0.03,0,0,1,1,50
31017,"LA CO., SHERIFF'S DEPT.",A,5130 N CLARK AVE,LAKEWOOD,CA,90712,2694,626,3003030,     ,GEORGE K.   ,LEE    ,LA  ,395.1199951,3746.02002,2/18/2014,560812,31,96,G30284,ACTIVE      ,3/7/2014,043902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,922120,9221,    ,0.29,1,0.02,0.02,0,0,1,1,50
31038,"LA CITY, DWP",A,1141 W 2ND ST,LOS ANGELES,CA,90012,    ,213,3670436,     ,KATHERINE,RUBIN,LA  ,384.0910034,3769.144043,11/2/1999,361779,31,30,F47230,ACTIVE      ,12/14/2001,043901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,221310,4931,    ,1,3,0,0,0,0,1,0,52
31089,SO CAL GAS CO,A,4555 SPERRY ST,LOS ANGELES,CA,90039,1016,714,8260352,     ,SCOTT,HULTNER,LA  ,382.4899902,3779.139893,8/8/1989,209931,31,19,D36274,ACTIVE      ,2/20/1991,043001,I C E (50-500 HP) EM ELEC GEN-NAT GAS,  ,,221210,4925,    ,0,0,0,0,0,0,1,1,52
31158,"LA CITY, DWP",A,950 W FIRST ST,SAN PEDRO,CA,90731,    ,213,3672443,     ,FRED,TESKA,LA  ,379.7399902,3734.26001,10/15/1996,321451,31,10,F5105 ,ACTIVE      ,1/31/1997,043901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,926130,4911,    ,0,0,0,0,0,0,1,0,26
31158,"LA CITY, DWP",A,950 W FIRST ST,SAN PEDRO,CA,90731,    ,213,3672443,     ,FRED,TESKA,LA  ,379.7399902,3734.26001,11/29/2005,451258,31,63,F82724,ACTIVE      ,6/21/2006,045901,I C E (50-500 HP) EM FLOOD CTL-DIESEL,  ,,926130,4911,    ,0,1,0,0,0,0,1,1,50
31158,"LA CITY, DWP",A,950 W FIRST ST,SAN PEDRO,CA,90731,    ,213,3672443,     ,FRED,TESKA,LA  ,379.7399902,3734.26001,11/29/2005,451259,31,63,F82725,ACTIVE      ,6/21/2006,045901,I C E (50-500 HP) EM FLOOD CTL-DIESEL,  ,,926130,4911,    ,0,1,0,0,0,0,1,1,50
31201,SEMPRA ENERGY (THE GAS CO),A,1701 STEWART ST,SANTA MONICA,CA,90401,    ,310,5782667,     ,BRYAN,GORDON,LA  ,364.5499878,3766.399902,11/6/1996,321857,31,96,F3779 ,ACTIVE      ,11/6/1996,043901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,221210,4925,    ,0,0,0,0,0,0,1,1,29
