Facility Id,Facility Name,Facility  Status,Location  Street Address,Location  City,Location  State,Location  Zip,Locatino  Zip Four,Location  Area Code,Location  Phone Number,Location  Phone Extension,Location  Rep First,Location  Rep Last,Location  County Identity,Utm East,Utm North,Application  Date,Application  Number,Application  Status,Application  Type,Permit Number,Permit Status,PO Issue Date,BCAT Number,BCAT Description,CCAT Number,CCAT  Description,Naics Code,Sic Code1,Sic Code2,Emi Amt Av30 Co,Emi Amt Av30 Nox,Emi Amt Av30 Pm10,Emi Amt Av30 Rog,Emi Amt Av30 Sox,Emi Amt Av30 Tog
95663,HOME DEPOT - SIGNAL HILL #648,A,2450 CHERRY AVE,SIGNAL HILL,CA,90755,    ,760,6028700,8616,ERIC,ENSMINGER,LA  ,391.9200134,3740.629883,7/20/00,372129,31,30,F33661,ACTIVE      ,9/13/00,44901,I C E (50-500 HP) EM FIRE FGHT-DIESEL,  ,,444110,    ,    ,0,0,0,0,0,0
95663,HOME DEPOT - SIGNAL HILL #648,A,2450 CHERRY AVE,SIGNAL HILL,CA,90755,    ,760,6028700,8616,ERIC,ENSMINGER,LA  ,391.9200134,3740.629883,6/15/05,444886,31,10,F76518,ACTIVE      ,7/7/05,48901,"I C E (50-500 HP) EMERG OTHER, DIESEL",  ,,444110,    ,    ,0,0,0,0,0,0
95667,CORONA NORCO UNIFIED SCHOOL DISTRICT,A,2820 CLARK AVE,NORCO,CA,92860,    ,951,7365001,     ,DIAN,LINDSEY,RV  ,0,0,9/12/14,568316,31,10,G33645,ACTIVE      ,12/5/14,43501,I C E (50-500 HP) EM ELEC GEN-NG & LPG,  ,,611110,    ,    ,0.03,0,0,0,0,0
95667,CORONA NORCO UNIFIED SCHOOL DISTRICT,A,2820 CLARK AVE,NORCO,CA,92860,    ,951,7365001,     ,DIAN,LINDSEY,RV  ,0,0,9/12/14,568317,31,10,G33646,ACTIVE      ,12/5/14,43501,I C E (50-500 HP) EM ELEC GEN-NG & LPG,  ,,611110,    ,    ,0.03,0,0,0,0,0
95667,CORONA NORCO UNIFIED SCHOOL DISTRICT,A,2820 CLARK AVE,NORCO,CA,92860,    ,951,7365001,     ,DIAN,LINDSEY,RV  ,0,0,7/7/15,576795,31,96,G36805,ACTIVE      ,7/30/15,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,611110,    ,    ,0.04,0.09,0,0,0,0
95668,NEWPORT CORPORATION,A,1791 DEERE AVE.,IRVINE,CA,92606,    ,714,2531455,     ,RUSSELL R,HILL,OR  ,0,0,3/21/12,535012,31,30,G39719,ACTIVE      ,3/28/16,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,337127,3800,    ,0.06,0.43,0.02,0.01,0,0
95734,"CANTERBURY,HOME FOR THE AGED EPISCOPAL C",A,5801 CRESTRIDGE RD,RANCHO PALOS VERDES,CA,90274,    ,818,5761032,     ,REV.GEORGE,CUMMING,LA  ,372.9599915,3736.98999,3/11/93,279178,31,30,D71412,ACTIVE      ,3/19/93,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,623110,    ,    ,0,1,0,0,0,0
95776,THE LOS ANGELES CHILD GUIDANCE CLINIC,A,3787 S VERMONT AVE,LOS ANGELES,CA,90007,    ,323,7662360,2123,BRIAN,WARREN,LA  ,380.7309875,3764.6521,3/21/94,290925,31,96,D82483,ACTIVE      ,5/2/94,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,624110,8000,    ,0,1,0,0,0,0
95872,COUNTY SANITATION DISTRICTS OF LA COUNTY,A,VARIOUS LOCATIONS IN SCAQMD,WHITTIER,CA,90607,    ,562,6997411,2432,CHARLOTTE,NESBIT,LA  ,0,0,4/14/09,497808,31,60,G4718 ,ACTIVE      ,10/30/09,46902,ICE (>500 hp) EM PORT N-RENT DIESEL,  ,,562212,4953,    ,0.38,1.58,0.03,0.05,0,0
95872,COUNTY SANITATION DISTRICTS OF LA COUNTY,A,VARIOUS LOCATIONS IN SCAQMD,WHITTIER,CA,90607,    ,562,6997411,2432,CHARLOTTE,NESBIT,LA  ,0,0,4/14/09,497809,31,60,G4719 ,ACTIVE      ,10/30/09,46901,I C E (50-500 HP) EM PORT N-RENT DIESEL,  ,,562212,4953,    ,0.41,1.4,0.06,0.05,0,0
95872,COUNTY SANITATION DISTRICTS OF LA COUNTY,A,VARIOUS LOCATIONS IN SCAQMD,WHITTIER,CA,90607,    ,562,6997411,2432,CHARLOTTE,NESBIT,LA  ,0,0,4/14/09,497810,31,60,G4720 ,ACTIVE      ,10/30/09,46902,ICE (>500 hp) EM PORT N-RENT DIESEL,  ,,562212,4953,    ,0.07,1.97,0.07,0.01,0,0
95872,COUNTY SANITATION DISTRICTS OF LA COUNTY,A,VARIOUS LOCATIONS IN SCAQMD,WHITTIER,CA,90607,    ,562,6997411,2432,CHARLOTTE,NESBIT,LA  ,0,0,4/14/09,497811,31,60,G4721 ,ACTIVE      ,10/30/09,41901,I C E (50-500 HP) N-EM PORT N-RENT DIESE,  ,,562212,4953,    ,0.93,0.61,0.03,0.03,0,0
95979,RANCHO CALIFORNIA WATER DISTRICT,A,41875 DIAZ RD,TEMECULA,CA,92590,    ,951,2966900,     ,MATTHEW,STONE,RV  ,486.0599976,3705.419922,6/17/10,511814,31,63,G8982 ,ACTIVE      ,6/25/10,43002,I C E (>500 HP) EM ELEC GEN-NAT GAS,  ,,237110,4940,    ,0.13,0.03,0,0.08,0,0
95979,RANCHO CALIFORNIA WATER DISTRICT,A,41875 DIAZ RD,TEMECULA,CA,92590,    ,951,2966900,     ,MATTHEW,STONE,RV  ,486.0599976,3705.419922,6/17/10,511815,31,63,G8983 ,ACTIVE      ,6/25/10,43002,I C E (>500 HP) EM ELEC GEN-NAT GAS,  ,,237110,4940,    ,0.13,0.03,0,0.08,0,0
95979,RANCHO CALIFORNIA WATER DISTRICT,A,41875 DIAZ RD,TEMECULA,CA,92590,    ,951,2966900,     ,MATTHEW,STONE,RV  ,486.0599976,3705.419922,6/17/10,511816,31,63,G8984 ,ACTIVE      ,6/25/10,43002,I C E (>500 HP) EM ELEC GEN-NAT GAS,  ,,237110,4940,    ,0.13,0.03,0,0.08,0,0
95979,RANCHO CALIFORNIA WATER DISTRICT,A,41875 DIAZ RD,TEMECULA,CA,92590,    ,951,2966900,     ,MATTHEW,STONE,RV  ,486.0599976,3705.419922,6/17/10,511817,31,63,G8985 ,ACTIVE      ,6/25/10,43002,I C E (>500 HP) EM ELEC GEN-NAT GAS,  ,,237110,4940,    ,0.13,0.03,0,0.08,0,0
96046,"MISSION VIEJO MED DEV CO,MISSION H R M C",A,26730-32 CROWN VALLEY PKY,MISSION VIEJO,CA,92691,    ,714,3644288,     ,ROB,MCFARLAND,OR  ,437.9039917,3713.626953,3/31/93,279951,31,30,D72767,ACTIVE      ,4/26/93,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,621111,8060,    ,0,0,0,0,0,0
