resource,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,lcoe_type
FCZ7.Commercial.Warehouse.OfficeEquipment,8.000000003,7.766990294,7.540767276,7.321133278,7.107896386,6.900870278,6.699874056,6.504732093,6.052137464,5.109444882,2.232281744,2.16726383,2.10413964,2.04285402,1.983353417,1.925585842,no_emissions
FCZ7.Commercial.Warehouse.OutdoorLighting,37.33333334,36.2459547,35.19024728,34.16528862,33.17018313,32.20406129,31.26607892,30.35541643,29.73441449,29.63478032,36.46060183,35.39864255,34.36761413,33.36661566,32.39477249,31.45123542,no_emissions
FCZ7.Commercial.Warehouse.Refrigeration,4,3.883495146,3.770383637,3.965613857,4.14627289,4.600580183,5.02490554,5.691640579,6.841546697,14.05097343,13.88975308,13.48519716,13.09242443,12.71109168,12.34086571,11.98142302,no_emissions
FCZ7.Commercial.Warehouse.Ventilation,4,3.883495145,3.770383636,3.660566637,3.553948192,3.450435137,3.349937027,3.252366045,3.157636937,3.065666929,2.976375659,2.889685106,2.805519521,2.72380536,2.644471223,2.567447789,no_emissions
FCZ7.Commercial.Warehouse.WaterHeating,29.33333334,28.4789644,27.64948,26.84415534,26.06228674,25.30319101,24.56620486,23.85068433,23.15600421,22.48155748,21.82675484,21.19102412,20.57380982,19.97457264,19.39278897,18.82795046,no_emissions
FCZ7.Residential.MULTIFAMILY.CoolingEff,39.66666666,38.51132686,37.38963773,35.99557193,34.35483252,32.20406128,30.14943324,37.13117902,35.52341554,33.97780847,32.24406965,30.58250071,36.93934036,35.40946968,33.7170081,31.6651894,no_emissions
FCZ7.Residential.MULTIFAMILY.Dryer,44.33333333,43.0420712,41.78841864,40.87632745,39.68575481,38.52985904,37.40763014,36.31808751,35.26027914,34.48875295,33.23619487,32.26815036,32.26347449,30.41582652,29.52992866,28.66983365,no_emissions
FCZ7.Residential.MULTIFAMILY.Heating,21.33333333,20.71197411,20.10871273,20.13311651,20.13903975,20.1275383,20.09962216,20.32728778,19.99836727,19.41589055,19.09841048,18.30133901,18.70346347,15.20791326,14.76496433,14.33491682,no_emissions
FCZ7.Residential.MULTIFAMILY.Refrigerator,44.33333333,43.0420712,41.78841864,40.87632745,39.68575481,38.52985904,37.40763013,36.31808751,35.26027913,34.48875295,33.23619487,32.26815035,32.26347449,30.41582652,29.52992866,28.66983365,no_emissions
FCZ7.Residential.MULTIFAMILY.ResLightingEff,47.33333334,45.95469256,44.61620637,43.01165799,38.5011054,60.09507864,58.90305938,66.40247342,65.78410286,57.22578269,45.63776011,33.9538,28.2889885,27.69202116,26.88545744,26.31633985,no_emissions
