"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
LDWP,"7/10/2019 5 p.m. PDT",4309,4000,3805,-504
LDWP,"7/10/2019 6 p.m. PDT",4299,3910,3784,-515
LDWP,"7/10/2019 7 p.m. PDT",4162,3751,3963,-200
LDWP,"7/10/2019 8 p.m. PDT",4004,3573,3691,-314
LDWP,"7/10/2019 9 p.m. PDT",3863,3502,3585,-278
LDWP,"7/10/2019 10 p.m. PDT",3656,3201,3261,-396
LDWP,"7/10/2019 11 p.m. PDT",3318,2910,2742,-576
LDWP,"7/11/2019 12 a.m. PDT",3017,2625,2521,-496
LDWP,"7/11/2019 1 a.m. PDT",2782,2572,2322,-460
LDWP,"7/11/2019 2 a.m. PDT",2583,2496,2104,-479
LDWP,"7/11/2019 3 a.m. PDT",2462,2343,2040,-421
LDWP,"7/11/2019 4 a.m. PDT",2386,2200,2029,-357
LDWP,"7/11/2019 5 a.m. PDT",2386,2224,2029,-357
LDWP,"7/11/2019 6 a.m. PDT",2487,2293,2056,-431
LDWP,"7/11/2019 7 a.m. PDT",2650,2480,2305,-346
LDWP,"7/11/2019 8 a.m. PDT",2872,2757,2567,-304
LDWP,"7/11/2019 9 a.m. PDT",3124,3020,2751,-372
LDWP,"7/11/2019 10 a.m. PDT",3333,3268,2955,-378
LDWP,"7/11/2019 11 a.m. PDT",3550,3479,3170,-380
LDWP,"7/11/2019 12 p.m. PDT",3764,3660,3382,-382
LDWP,"7/11/2019 1 p.m. PDT",4019,3830,3626,-393
LDWP,"7/11/2019 2 p.m. PDT",4253,3981,4058,-195
LDWP,"7/11/2019 3 p.m. PDT",4465,4125,4278,-186
LDWP,"7/11/2019 4 p.m. PDT",4620,4250,4331,-289
LDWP,"7/11/2019 5 p.m. PDT",4709,4243,4361,-348
LDWP,"7/11/2019 6 p.m. PDT",4702,4142,4285,-417
LDWP,"7/11/2019 7 p.m. PDT",4553,3940,4225,-329
LDWP,"7/11/2019 8 p.m. PDT",4356,3713,3914,-442
LDWP,"7/11/2019 9 p.m. PDT",4209,3514,3746,-463
LDWP,"7/11/2019 10 p.m. PDT",3987,3277,3634,-353
LDWP,"7/11/2019 11 p.m. PDT",3525,2977,3102,-422
LDWP,"7/12/2019 12 a.m. PDT",3175,2675,2706,-470
LDWP,"7/12/2019 1 a.m. PDT",2906,2502,2422,-484
